Date;Overall AQI Value;Main Pollutant;Site Name (of Overall AQI);Site ID (of Overall AQI);Source (of Overall AQI);CO;Ozone;PM10;PM25;NO2
2/21/2018;49;PM2.5;CITY HALL;17-043-4002;AQS;6;41;9;49;21
2/22/2018;55;PM2.5;Hammond- 167th St;18-089-0036;AQS;6;40;12;55;27
2/23/2018;58;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;3;27;11;58;27
2/24/2018;58;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;32;13;58;27
2/25/2018;52;PM2.5;LIBERTY SCHOOL;17-031-6005;AQS;3;47;8;52;20
2/26/2018;58;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;6;44;28;52;58
2/27/2018;47;Ozone;CAMP LOGAN TRAILER;17-097-1007;AQS;2;47;26;36;34
2/28/2018;57;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;14;43;25;57;36
3/1/2018;49;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;13;40;12;49;42
3/2/2018;76;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;10;44;20;51;76
3/3/2018;82;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;8;43;34;54;82
3/4/2018;43;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;2;43;18;43;33
3/5/2018;37;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;2;37;28;32;23
3/6/2018;64;PM2.5;MAYFAIR PUMP STATION;17-031-0052;AQS;2;36;13;64;30
3/7/2018;42;Ozone;CAMP LOGAN TRAILER;17-097-1007;AQS;3;42;12;27;22
3/8/2018;54;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;7;42;51;54;35
3/9/2018;57;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;7;45;22;57;43
3/10/2018;53;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;6;48;19;52;53
3/11/2018;50;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;5;46;29;50;50
3/12/2018;60;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;48;31;60;47
3/13/2018;60;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;5;44;51;39;60
3/14/2018;77;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;7;44;54;52;77
3/15/2018;58;PM2.5;Gary- Madison St./ Gary Water/ IN American Water Co.;18-089-0031;AQS;7;49;43;58;54
3/16/2018;46;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;2;43;23;46;25
3/17/2018;63;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;6;44;15;63;51
3/18/2018;72;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;13;49;32;72;61
3/19/2018;58;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;9;45;34;58;49
3/20/2018;74;PM10;Portage- Hwy 12;18-127-0023;AQS;5;42;74;36;12
3/21/2018;44;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;7;44;34;44;37
3/22/2018;56;PM2.5;COM ED TRAINING CENTER;17-197-1011;AQS;6;48;19;56;49
3/23/2018;67;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;6;46;21;42;67
3/24/2018;44;Ozone;WATER PLANT;17-031-7002;AQS;3;44;21;38;16
3/25/2018;46;Ozone;WATER PLANT;17-031-7002;AQS;5;46;11;36;21
3/26/2018;164;PM2.5;Ogden Dunes- Water Treatment Plant;18-127-0024;AQS;3;42;32;164;33
3/27/2018;65;PM2.5;MCKINLEY SCHOOL;17-089-0003;AQS;5;31;12;65;30
3/28/2018;64;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;39;27;64;40
3/29/2018;72;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;14;39;20;72;53
3/30/2018;52;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;6;46;17;52;50
3/31/2018;48;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;5;39;15;48;44
4/1/2018;43;Ozone;CAMP LOGAN TRAILER;17-097-1007;AQS;6;43;12;32;24
4/2/2018;63;PM2.5;CARY GROVE HS;17-111-0001;AQS;7;45;18;63;38
4/3/2018;53;PM2.5;CITY HALL;17-043-4002;AQS;6;42;12;53;28
4/4/2018;48;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;43;31;48;25
4/5/2018;57;PM2.5;IEPA TRAILER;17-031-3103;AQS;7;43;17;57;42
4/6/2018;55;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;48;19;55;38
4/7/2018;49;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;42;18;49;44
4/8/2018;58;PM2.5;Gary- Burr St./ pumping station near truck stop;18-089-0026;AQS;9;50;22;58;47
4/9/2018;65;PM2.5;PERSHING SCHOOL;17-197-1002;AQS;5;51;15;65;45
4/10/2018;61;PM2.5;Gary-IITRI/ 1219.5 meters east of Tennessee St.- old ammuntion bunker;18-089-0022;AQS;6;49;23;61;42
4/11/2018;73;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;3;46;43;73;45
4/12/2018;66;PM2.5;REGIONAL OFFICE BUILDING;17-031-4007;AQS;6;64;52;66;41
4/13/2018;62;PM2.5;Hammond- 167th St;18-089-0036;AQS;11;46;44;62;34
4/14/2018;51;PM2.5;Gary- Madison St./ Gary Water/ IN American Water Co.;18-089-0031;AQS;11;45;18;51;9
4/15/2018;43;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;5;43;5;27;25
4/16/2018;44;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;7;44;10;37;25
4/17/2018;48;Ozone;CARY GROVE HS;17-111-0001;AQS;6;48;17;38;30
4/18/2018;60;NO2;COM ED MAINTENANCE BLDG;17-031-0076;AQS;5;45;15;46;60
4/19/2018;71;Ozone;CARY GROVE HS;17-111-0001;AQS;10;71;26;43;57
4/20/2018;64;PM2.5;Gary- Madison St./ Gary Water/ IN American Water Co.;18-089-0031;AQS;9;61;51;64;62
4/21/2018;58;NO2;IEPA TRAILER;17-031-3103;AQS;7;54;41;55;58
4/22/2018;80;Ozone;WATER PLANT;17-031-7002;AQS;3;80;23;55;31
4/23/2018;74;Ozone;WATER PLANT;17-031-7002;AQS;15;74;60;61;33
4/24/2018;74;Ozone;CHIWAUKEE PRAIRIE STATELINE;55-059-0019;AQS;8;74;61;64;36
4/25/2018;43;Ozone;COM ED TRAINING CENTER;17-197-1011;AQS;14;43;34;32;35
